Order_ID,Order_Date,Customer_ID,Customer_Segment,Age,Gender,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Shipping_Cost,Payment_Method,Delivery_Days,Order_Status,Customer_Rating,Cost,Revenue,Profit
ORD-50036,2023-10-25 03:00:00,UID-827,Standard,27,Female,North,PRD-TEC-88,Bluetooth Speaker,Tech Accessories,4,60,0.12,0.0,PayPal,6,Shipped,4.4,30,211.2,91.2
ORD-50037,2023-03-16 13:00:00,UID-787,Standard,50,Male,North,PRD-SPO-13,Yoga Mat,Sports,3,25,0.09,21.51,Bank Transfer,4,Delivered,4.6,10,68.25,16.74
ORD-50038,2023-03-29 02:00:00,UID-798,Standard,37,Male,West,PRD-BEA-29,Perfume,Beauty,3,80,0.05,0.0,Credit Card,5,Delivered,4.3,25,228.0,153.0
ORD-50039,2023-05-28 20:00:00,UID-693,Premium,43,Male,West,PRD-SPO-22,Treadmill,Sports,6,500,0.16,0.0,Credit Card,11,Delivered,3.0,300,2520.0,720.0
ORD-50040,2023-06-07 17:00:00,UID-580,Occasional,67,Male,West,PRD-SPO-29,Dumbbells,Sports,1,40,0.0,8.19,Credit Card,13,Returned,1.9,20,40.0,11.81
ORD-50041,2023-04-07 23:00:00,UID-489,Standard,70,Female,West,PRD-TEC-46,Bluetooth Speaker,Tech Accessories,3,60,0.14,0.0,PayPal,6,Delivered,4.6,30,154.8,64.8
ORD-50042,2023-12-18 20:00:00,UID-731,Standard,65,Female,South,PRD-TEC-54,Bluetooth Speaker,Tech Accessories,1,60,0.31,15.61,PayPal,14,Delivered,3.5,30,41.4,-4.21
ORD-50043,2023-04-15 04:00:00,UID-298,Standard,48,Male,East,PRD-SPO-64,Dumbbells,Sports,2,40,0.09,21.42,PayPal,10,Shipped,3.0,20,72.8,11.38
ORD-50044,2023-02-10 03:00:00,UID-626,Standard,19,Female,East,PRD-HOM-95,Bed Sheets,Home & Garden,2,50,0.12,10.09,Credit Card,10,Delivered,3.1,20,88.0,37.91
ORD-50045,2023-04-04 03:00:00,UID-785,Occasional,46,Male,West,PRD-HOM-17,Table Lamp,Home & Garden,1,45,0.0,9.08,Crypto,12,Delivered,3.1,20,45.0,15.92
ORD-50046,2023-04-20 19:00:00,UID-871,Occasional,58,Male,South,PRD-SPO-24,Resistance Bands,Sports,3,15,0.02,6.02,Credit Card,13,Delivered,3.5,5,44.1,23.08
ORD-50047,2023-05-21 19:00:00,UID-176,Standard,69,Male,North,PRD-TEC-18,Wireless Charger,Tech Accessories,1,35,0.14,24.41,Credit Card,12,Returned,2.4,15,30.1,-9.31
ORD-50048,2023-05-26 20:00:00,UID-155,Occasional,58,Male,West,PRD-HOM-73,Indoor Plant,Home & Garden,4,25,0.08,7.25,PayPal,10,Delivered,3.4,10,92.0,44.75
ORD-50049,2023-08-14 18:00:00,UID-720,Standard,64,Male,South,PRD-BEA-33,Moisturizer,Beauty,4,25,0.35,15.94,PayPal,14,Delivered,2.5,6,65.0,25.06
ORD-50050,2023-01-20 05:00:00,UID-556,Premium,48,Female,East,PRD-BEA-68,Face Serum,Beauty,5,30,0.14,0.0,Credit Card,7,Delivered,4.0,8,129.0,89.0
ORD-50051,2023-11-02 21:00:00,UID-446,Standard,19,Male,North,PRD-BEA-23,Moisturizer,Beauty,4,25,0.13,15.52,PayPal,13,Delivered,3.4,6,87.0,47.48
ORD-50052,2023-11-28 10:00:00,UID-357,Occasional,33,Male,East,PRD-TEC-37,Phone Case,Tech Accessories,4,20,0.01,24.57,Credit Card,14,Delivered,3.3,5,79.2,34.63
ORD-50053,2023-05-24 04:00:00,UID-780,Standard,68,Female,South,PRD-BEA-80,Face Serum,Beauty,1,30,0.34,24.56,Bank Transfer,1,Delivered,3.8,8,19.8,-12.76
ORD-50054,2023-09-12 02:00:00,UID-352,Standard,19,Female,South,PRD-BEA-98,Perfume,Beauty,4,80,0.06,0.0,Credit Card,11,Delivered,3.4,25,300.8,200.8
ORD-50055,2023-05-22 17:00:00,UID-692,Occasional,44,Female,South,PRD-HOM-72,Bed Sheets,Home & Garden,1,50,0.38,15.17,PayPal,13,Delivered,4.3,20,31.0,-4.17
ORD-50056,2023-08-10 15:00:00,UID-425,Premium,41,Female,East,PRD-HOM-26,Vacuum Cleaner,Home & Garden,3,200,0.12,0.0,Crypto,9,Delivered,3.1,100,528.0,228.0
ORD-50057,2023-10-09 17:00:00,UID-528,Occasional,65,Female,West,PRD-BEA-76,Perfume,Beauty,1,80,0.05,9.65,Credit Card,14,Delivered,3.9,25,76.0,41.35
ORD-50058,2023-08-22 08:00:00,UID-974,Standard,35,Female,East,PRD-SPO-79,Treadmill,Sports,4,500,0.13,0.0,Credit Card,9,Delivered,3.2,300,1740.0,540.0
ORD-50059,2023-03-20 13:00:00,UID-391,Standard,41,Male,East,PRD-SPO-50,Resistance Bands,Sports,4,15,0.1,20.07,Credit Card,10,Returned,1.1,5,54.0,13.93
ORD-50060,2023-12-27 03:00:00,UID-106,Occasional,22,Male,North,PRD-HOM-38,Bed Sheets,Home & Garden,3,50,0.01,0.0,PayPal,4,Returned,1.9,20,148.5,88.5
ORD-50061,2023-09-11 08:00:00,UID-998,Standard,55,Female,South,PRD-SPO-56,Yoga Mat,Sports,1,25,0.26,7.92,PayPal,11,Delivered,3.7,10,18.5,0.58
ORD-50062,2023-09-03 12:00:00,UID-807,Standard,66,Male,North,PRD-TEC-88,Bluetooth Speaker,Tech Accessories,2,60,0.06,0.0,Credit Card,5,Delivered,4.3,30,112.8,52.8
ORD-50063,2023-04-12 09:00:00,UID-529,Occasional,58,Male,South,PRD-HOM-62,Indoor Plant,Home & Garden,2,25,0.32,22.57,Credit Card,6,Delivered,4.8,10,34.0,-8.57
ORD-50064,2023-06-02 17:00:00,UID-957,Standard,28,Female,East,PRD-BEA-90,Perfume,Beauty,4,80,0.1,0.0,Credit Card,4,Delivered,4.9,25,288.0,188.0
ORD-50065,2023-09-30 15:00:00,UID-297,Occasional,44,Male,South,PRD-SPO-67,Yoga Mat,Sports,1,25,0.0,20.96,PayPal,11,Delivered,3.3,10,25.0,-5.96
ORD-50066,2023-04-25 08:00:00,UID-127,Occasional,36,Male,West,PRD-TEC-35,Phone Case,Tech Accessories,2,20,0.09,20.94,PayPal,14,Delivered,4.3,5,36.4,5.46
ORD-50067,2023-10-31 02:00:00,UID-397,Standard,50,Female,West,PRD-SPO-94,Dumbbells,Sports,2,40,0.07,5.96,PayPal,13,Delivered,3.1,20,74.4,28.44
ORD-50068,2023-03-05 03:00:00,UID-247,Premium,41,Male,South,PRD-HOM-62,Table Lamp,Home & Garden,5,45,0.39,0.0,Credit Card,14,Delivered,3.0,20,137.25,37.25
ORD-50069,2023-07-14 16:00:00,UID-643,Occasional,54,Female,West,PRD-SPO-68,Dumbbells,Sports,4,40,0.01,0.0,PayPal,10,Delivered,4.2,20,158.4,78.4
ORD-50070,2023-06-16 03:00:00,UID-556,Premium,42,Female,West,PRD-TEC-13,Wireless Charger,Tech Accessories,4,35,0.21,0.0,Credit Card,11,Delivered,4.3,15,110.6,50.6
ORD-50071,2023-02-10 22:00:00,UID-950,Occasional,25,Female,North,PRD-HOM-87,Bed Sheets,Home & Garden,1,50,0.0,16.01,PayPal,12,Delivered,3.1,20,50.0,13.99
ORD-50072,2023-02-10 07:00:00,UID-884,Premium,20,Male,North,PRD-HOM-92,Bed Sheets,Home & Garden,4,50,0.19,0.0,Credit Card,4,Delivered,3.9,20,162.0,82.0
ORD-50073,2023-07-01 23:00:00,UID-210,Standard,67,Male,West,PRD-TEC-59,Smart Watch,Tech Accessories,1,150,0.09,0.0,Credit Card,8,Delivered,2.4,75,136.5,61.5
ORD-50074,2023-01-08 16:00:00,UID-494,Occasional,60,Male,West,PRD-BEA-91,Moisturizer,Beauty,4,25,0.08,14.43,PayPal,12,Delivered,2.8,6,92.0,53.57
ORD-50075,2023-12-20 23:00:00,UID-621,Standard,36,Female,East,PRD-SPO-66,Yoga Mat,Sports,1,25,0.09,22.12,Credit Card,4,Delivered,3.5,10,22.75,-9.37
ORD-50076,2023-05-31 08:00:00,UID-651,Standard,56,Male,South,PRD-BEA-58,Moisturizer,Beauty,1,25,0.34,12.03,Credit Card,13,Delivered,3.5,6,16.5,-1.53
ORD-50077,2023-08-05 21:00:00,UID-937,Premium,32,Female,South,PRD-BEA-48,Face Serum,Beauty,5,30,0.39,7.75,Bank Transfer,6,Delivered,4.1,8,91.5,43.75
ORD-50078,2023-07-21 09:00:00,UID-672,Standard,57,Female,North,PRD-HOM-10,Bed Sheets,Home & Garden,4,50,0.06,0.0,PayPal,9,Delivered,3.1,20,188.0,108.0
ORD-50079,2023-06-28 07:00:00,UID-479,Occasional,67,Male,South,PRD-HOM-77,Table Lamp,Home & Garden,1,45,0.04,23.91,Credit Card,13,Delivered,3.1,20,43.2,-0.71
ORD-50080,2023-06-20 07:00:00,UID-224,Standard,33,Male,East,PRD-BEA-62,Perfume,Beauty,1,80,0.13,7.76,Crypto,13,Returned,2.3,25,69.6,36.84
ORD-50081,2023-03-25 13:00:00,UID-446,Standard,63,Female,North,PRD-SPO-99,Yoga Mat,Sports,3,25,0.06,5.19,Crypto,2,Delivered,3.8,10,70.5,35.31
ORD-50082,2023-05-26 15:00:00,UID-839,Occasional,67,Female,East,PRD-BEA-44,Perfume,Beauty,4,80,0.08,0.0,PayPal,11,Shipped,4.3,25,294.4,194.4
ORD-50083,2023-07-10 21:00:00,UID-340,Standard,62,Female,North,PRD-SPO-72,Yoga Mat,Sports,2,25,0.14,11.48,Credit Card,7,Returned,1.6,10,43.0,11.52
ORD-50084,2023-02-07 02:00:00,UID-543,Standard,28,Male,North,PRD-BEA-97,Makeup Set,Beauty,1,40,0.14,6.77,PayPal,5,Delivered,3.7,12,34.4,15.63
ORD-50085,2023-04-08 15:00:00,UID-341,Occasional,22,Male,East,PRD-SPO-52,Yoga Mat,Sports,1,25,0.0,15.08,Credit Card,8,Delivered,3.8,10,25.0,-0.08
ORD-50086,2023-08-12 17:00:00,UID-172,Occasional,49,Female,North,PRD-BEA-33,Moisturizer,Beauty,1,25,0.0,6.01,Credit Card,8,Returned,1.9,6,25.0,12.99
ORD-50087,2023-04-17 14:00:00,UID-706,Occasional,47,Female,East,PRD-TEC-78,Bluetooth Speaker,Tech Accessories,4,60,0.0,0.0,Crypto,9,Delivered,4.0,30,240.0,120.0
ORD-50088,2023-02-04 13:00:00,UID-478,Standard,38,Male,South,PRD-HOM-80,Bed Sheets,Home & Garden,3,50,0.08,0.0,Credit Card,1,Delivered,4.8,20,138.0,78.0
ORD-50089,2023-03-02 22:00:00,UID-454,Standard,21,Female,South,PRD-BEA-38,Moisturizer,Beauty,3,25,0.34,11.63,Credit Card,13,Shipped,3.8,6,49.5,19.87
ORD-50090,2023-07-12 21:00:00,UID-580,Premium,28,Female,North,PRD-TEC-59,Wireless Charger,Tech Accessories,3,35,0.12,5.7,PayPal,3,Delivered,4.5,15,92.4,41.7
ORD-50091,2023-10-20 17:00:00,UID-529,Occasional,24,Female,South,PRD-TEC-70,Phone Case,Tech Accessories,2,20,0.0,23.75,Crypto,8,Delivered,3.4,5,40.0,6.25
ORD-50092,2023-10-20 08:00:00,UID-867,Occasional,30,Male,West,PRD-SPO-80,Yoga Mat,Sports,1,25,0.03,10.4,Bank Transfer,8,Delivered,4.0,10,24.25,3.85
ORD-50093,2023-05-29 19:00:00,UID-614,Occasional,21,Male,East,PRD-TEC-89,Smart Watch,Tech Accessories,4,150,0.04,0.0,Credit Card,11,Delivered,2.3,75,576.0,276.0
ORD-50094,2023-05-03 03:00:00,UID-895,Occasional,63,Female,North,PRD-SPO-38,Treadmill,Sports,3,500,0.0,0.0,Crypto,7,Delivered,4.8,300,1500.0,600.0
ORD-50095,2023-07-20 23:00:00,UID-867,Standard,40,Male,East,PRD-SPO-61,Dumbbells,Sports,1,40,0.15,24.35,Crypto,2,Delivered,4.2,20,34.0,-10.35
ORD-50096,2023-06-16 07:00:00,UID-361,Occasional,44,Female,North,PRD-HOM-21,Table Lamp,Home & Garden,1,45,0.0,11.55,Crypto,7,Returned,1.6,20,45.0,13.45
ORD-50097,2023-05-03 21:00:00,UID-223,Occasional,33,Female,North,PRD-HOM-98,Indoor Plant,Home & Garden,4,25,0.0,8.52,Credit Card,7,Delivered,4.3,10,100.0,51.48
ORD-50098,2023-05-31 07:00:00,UID-402,Premium,68,Male,West,PRD-BEA-76,Moisturizer,Beauty,4,25,0.2,8.53,Credit Card,14,Delivered,2.8,6,80.0,47.47
ORD-50099,2023-10-21 10:00:00,UID-982,Standard,60,Male,North,PRD-SPO-19,Yoga Mat,Sports,2,25,0.11,21.79,PayPal,10,Shipped,4.0,10,44.5,2.71
ORD-50100,2023-09-07 16:00:00,UID-686,Occasional,54,Female,East,PRD-HOM-20,Indoor Plant,Home & Garden,4,25,0.04,7.4,PayPal,10,Delivered,3.6,10,96.0,48.6
ORD-50101,2023-06-07 11:00:00,UID-217,Standard,50,Female,North,PRD-TEC-85,Phone Case,Tech Accessories,4,20,0.15,13.32,Credit Card,8,Delivered,3.2,5,68.0,34.68
ORD-50102,2023-12-30 11:00:00,UID-545,Standard,61,Female,South,PRD-BEA-58,Face Serum,Beauty,3,30,0.07,7.93,PayPal,10,Delivered,2.2,8,83.7,51.77
ORD-50103,2023-05-15 09:00:00,UID-703,Premium,23,Female,East,PRD-TEC-84,Smart Watch,Tech Accessories,3,150,0.13,0.0,Crypto,10,Delivered,3.1,75,391.5,166.5
ORD-50104,2023-11-18 01:00:00,UID-255,Premium,44,Male,South,PRD-SPO-40,Resistance Bands,Sports,5,15,0.14,10.58,Credit Card,7,Delivered,4.6,5,64.5,28.92
ORD-50105,2023-07-30 18:00:00,UID-701,Premium,46,Female,West,PRD-TEC-65,Phone Case,Tech Accessories,7,20,0.13,0.0,Bank Transfer,7,Delivered,4.6,5,121.8,86.8
ORD-50106,2023-02-03 19:00:00,UID-851,Standard,24,Male,North,PRD-BEA-80,Makeup Set,Beauty,4,40,0.06,0.0,PayPal,11,Delivered,3.5,12,150.4,102.4
ORD-50107,2023-08-21 11:00:00,UID-859,Standard,55,Male,North,PRD-SPO-61,Yoga Mat,Sports,3,25,0.07,10.94,Credit Card,8,Delivered,2.8,10,69.75,28.81
ORD-50108,2023-05-29 02:00:00,UID-155,Occasional,32,Female,North,PRD-HOM-79,Vacuum Cleaner,Home & Garden,1,200,0.04,0.0,Credit Card,12,Delivered,2.9,100,192.0,92.0
ORD-50109,2023-02-05 07:00:00,UID-634,Standard,41,Male,West,PRD-SPO-38,Yoga Mat,Sports,1,25,0.11,12.48,Crypto,12,Returned,1.5,10,22.25,-0.23
ORD-50110,2023-04-17 23:00:00,UID-336,Standard,46,Male,East,PRD-SPO-41,Yoga Mat,Sports,3,25,0.06,24.06,Crypto,3,Delivered,5.0,10,70.5,16.44
ORD-50111,2023-07-21 14:00:00,UID-261,Standard,27,Female,East,PRD-TEC-43,Smart Watch,Tech Accessories,2,150,0.07,0.0,Crypto,3,Delivered,3.6,75,279.0,129.0
ORD-50112,2023-03-09 04:00:00,UID-555,Standard,54,Female,South,PRD-BEA-64,Face Serum,Beauty,1,30,0.09,15.38,Credit Card,8,Returned,1.4,8,27.3,3.92
ORD-50113,2023-03-31 13:00:00,UID-814,Standard,53,Male,West,PRD-TEC-15,Bluetooth Speaker,Tech Accessories,1,60,0.13,8.16,PayPal,12,Delivered,3.6,30,52.2,14.04
ORD-50114,2023-08-25 07:00:00,UID-200,Occasional,26,Male,North,PRD-SPO-66,Resistance Bands,Sports,3,15,0.02,18.5,Credit Card,6,Delivered,4.3,5,44.1,10.6
ORD-50115,2023-11-13 23:00:00,UID-944,Occasional,44,Female,East,PRD-SPO-64,Treadmill,Sports,1,500,0.0,0.0,PayPal,11,Delivered,2.8,300,500.0,200.0
ORD-50116,2023-07-30 11:00:00,UID-180,Occasional,68,Male,North,PRD-TEC-66,Wireless Charger,Tech Accessories,4,35,0.1,0.0,Credit Card,3,Delivered,4.8,15,126.0,66.0
ORD-50117,2023-03-10 03:00:00,UID-895,Standard,45,Female,East,PRD-SPO-79,Yoga Mat,Sports,4,25,0.08,7.67,Credit Card,3,Returned,1.9,10,92.0,44.33
ORD-50118,2023-08-01 21:00:00,UID-748,Standard,59,Female,South,PRD-BEA-14,Makeup Set,Beauty,2,40,0.09,24.7,Bank Transfer,6,Delivered,4.7,12,72.8,24.1
ORD-50119,2023-11-10 20:00:00,UID-920,Standard,49,Female,West,PRD-SPO-56,Dumbbells,Sports,2,40,0.14,10.43,Credit Card,10,Delivered,4.2,20,68.8,18.37
ORD-50120,2023-04-08 11:00:00,UID-397,Premium,41,Male,East,PRD-BEA-98,Face Serum,Beauty,4,30,0.2,20.36,Credit Card,13,Delivered,2.6,8,96.0,43.64
ORD-50121,2023-05-01 02:00:00,UID-448,Standard,19,Male,North,PRD-BEA-86,Moisturizer,Beauty,1,25,0.1,16.74,Credit Card,4,Returned,1.9,6,22.5,-0.24
ORD-50122,2023-02-22 00:00:00,UID-778,Occasional,33,Male,West,PRD-HOM-84,Indoor Plant,Home & Garden,4,25,0.0,9.28,Credit Card,11,Delivered,4.1,10,100.0,50.72
ORD-50123,2023-04-18 00:00:00,UID-553,Standard,40,Male,North,PRD-TEC-14,Smart Watch,Tech Accessories,4,150,0.13,0.0,Crypto,14,Delivered,3.1,75,522.0,222.0
ORD-50124,2023-03-05 02:00:00,UID-536,Standard,39,Male,South,PRD-BEA-42,Moisturizer,Beauty,3,25,0.05,15.81,Bank Transfer,4,Delivered,4.7,6,71.25,37.44
ORD-50125,2023-02-17 18:00:00,UID-781,Occasional,31,Female,North,PRD-TEC-59,Smart Watch,Tech Accessories,2,150,0.0,0.0,PayPal,6,Delivered,3.6,75,300.0,150.0
ORD-50126,2023-11-28 03:00:00,UID-765,Standard,61,Female,South,PRD-SPO-73,Treadmill,Sports,1,500,0.37,0.0,PayPal,7,Delivered,4.9,300,315.0,15.0
ORD-50127,2023-03-19 13:00:00,UID-873,Occasional,20,Male,East,PRD-SPO-52,Resistance Bands,Sports,3,15,0.0,11.37,Credit Card,1,Delivered,4.6,5,45.0,18.63
ORD-50128,2023-01-10 13:00:00,UID-445,Standard,39,Male,West,PRD-TEC-28,Phone Case,Tech Accessories,2,20,0.08,19.77,Crypto,8,Delivered,3.5,5,36.8,7.03
ORD-50129,2023-12-16 23:00:00,UID-956,Standard,41,Female,North,PRD-HOM-45,Table Lamp,Home & Garden,4,45,0.08,0.0,Credit Card,8,Delivered,3.3,20,165.6,85.6
ORD-50130,2023-02-28 05:00:00,UID-843,Standard,47,Female,North,PRD-BEA-83,Perfume,Beauty,1,80,0.08,12.73,PayPal,14,Delivered,2.8,25,73.6,35.87
ORD-50131,2023-09-21 07:00:00,UID-255,Standard,64,Male,East,PRD-BEA-95,Face Serum,Beauty,3,30,0.11,11.13,Credit Card,12,Delivered,3.8,8,80.1,44.97
ORD-50132,2023-05-21 22:00:00,UID-373,Standard,67,Female,West,PRD-BEA-52,Makeup Set,Beauty,2,40,0.1,10.2,Credit Card,5,Delivered,4.2,12,72.0,37.8
ORD-50133,2023-10-15 00:00:00,UID-986,Standard,30,Male,South,PRD-BEA-12,Perfume,Beauty,2,80,0.08,0.0,Bank Transfer,13,Delivered,2.2,25,147.2,97.2
ORD-50134,2023-11-22 23:00:00,UID-804,Occasional,42,Female,North,PRD-BEA-80,Makeup Set,Beauty,3,40,0.06,0.0,PayPal,1,Delivered,4.7,12,112.8,76.8
ORD-50135,2023-04-30 22:00:00,UID-583,Premium,20,Female,North,PRD-BEA-96,Face Serum,Beauty,3,30,0.25,9.71,PayPal,13,Delivered,3.0,8,67.5,33.79
ORD-50136,2023-07-18 14:00:00,UID-783,Standard,51,Female,North,PRD-HOM-39,Indoor Plant,Home & Garden,3,25,0.05,18.22,Credit Card,6,Delivered,4.3,10,71.25,23.03
ORD-50137,2023-06-26 18:00:00,UID-271,Standard,52,Female,North,PRD-BEA-72,Moisturizer,Beauty,4,25,0.15,20.15,Crypto,12,Delivered,3.9,6,85.0,40.85
ORD-50138,2023-06-13 22:00:00,UID-182,Standard,21,Male,East,PRD-TEC-70,Wireless Charger,Tech Accessories,1,35,0.12,24.7,Credit Card,10,Delivered,3.2,15,30.8,-8.9
ORD-50139,2023-12-13 06:00:00,UID-437,Standard,65,Female,North,PRD-SPO-38,Dumbbells,Sports,3,40,0.14,0.0,Credit Card,12,Returned,1.8,20,103.2,43.2
ORD-50140,2023-10-14 13:00:00,UID-151,Premium,58,Female,North,PRD-HOM-38,Indoor Plant,Home & Garden,7,25,0.24,0.0,Credit Card,8,Delivered,3.2,10,133.0,63.0
